Planet_name,Orbit_period,Semi_major_axis,Eccentricity,Mass (EU),Radius (EU),Density,Eqilibrium_temp,Insolation_flux,Distance,Effective_temp,Surface_Stellar_gravity,Stellar_luminosity,Stellar_mass,Stellar_radius,Habitable
Kepler-194 d,52.814973,0.275,,6.35,2.4,2.52,,12.86,1218,6089,4.42,0.022,1.09,1.02,0
Kepler-195 b,8.307872,0.077,,4.78,2.03,3.14,,74.15,649,5329,4.6,-0.367,0.83,0.78,0
Kepler-195 c,34.096863,0.197,,3.02,1.55,4.46,,11.28,649,5329,4.6,-0.367,0.83,0.78,0
Kepler-196 b,20.739886,0.138,,4.27,1.9,3.42,,20.73,452,5128,4.57,-0.409,0.85,0.78,0
Kepler-196 c,47.427737,0.24,,5.65,2.24,2.76,,6.88,452,5128,4.57,-0.409,0.85,0.78,0
Kepler-197 b,5.599308,0.06,0.02,1.04,1.02,5.39,,431.26,341,6004,4.3,0.199,1.01,1.12,0
Kepler-197 c,10.349695,0.09,0.08,5.3,1.23,15.7,,189.97,341,6004,4.3,0.199,1.01,1.12,0
Kepler-197 d,15.677563,0.119,0.03,1.98,1.22,5.99,,109.09,341,6004,4.3,0.199,1.01,1.12,0
Kepler-197 e,25.209715,0.164,0.38,0.693,0.91,5.05,,57.94,341,6004,4.3,0.199,1.01,1.12,0
Kepler-198 b,17.790037,0.131,,8.35,2.82,2.05,,44.55,512,5574,4.47,-0.141,0.97,0.94,0
Kepler-198 c,49.567416,0.259,,6.66,2.47,2.43,,11.35,512,5574,4.47,-0.141,0.97,0.94,0
Kepler-198 d,1.31184443,,,2.96,1.53,4.54,,1444.52,512,5574,4.47,-0.141,0.97,0.94,0
Kepler-199 b,23.637604,0.158,,9.85,3.11,1.8,,31.68,493,5644,4.44,-0.109,0.96,0.97,0
Kepler-199 c,67.093408,0.316,,10.6,3.25,1.7,,7.88,493,5644,4.44,-0.109,0.96,0.97,0
Kepler-20 b,3.69611525,0.0463,0.03,9.7,1.868,8.2,1105,324.11,290,5495,4.45,-0.189,0.95,0.96,0
Kepler-20 c,10.85409089,0.0949,0.16,12.75,3.047,2.5,772,77.02,290,5495,4.45,-0.189,0.95,0.96,0
Kepler-20 d,77.61130017,0.3506,0.6,10.07,2.744,2.7,401,5.59,290,5495,4.45,-0.189,0.95,0.96,0
Kepler-20 e,6.09852281,0.0639,0.28,3.08,0.865,,1040,166,290,5495,4.45,-0.189,0.95,0.96,0
Kepler-20 f,19.57758478,0.1396,0.32,14.3,1.003,,705,35.07,290,5495,4.45,-0.189,0.95,0.96,0
Kepler-20 g,34.94,0.2055,0.15,19.96,4.71,1.05,524,,290,5495,4.45,-0.189,0.95,0.96,0
Kepler-200 b,8.594805,0.08,,5.18,2.13,2.95,,159.07,658,5678,4.45,-0.045,0.98,0.94,0
Kepler-200 c,10.222157,0.09,,3.15,1.59,4.31,,126.36,658,5678,4.45,-0.045,0.98,0.94,0
Kepler-201 b,25.672083,0.175,,6.62,2.46,2.44,,64.55,613,6065,4.29,0.319,1.18,1.23,0
Kepler-201 c,151.884058,0.573,,8.5,2.85,2.02,,6.03,613,6065,4.29,0.319,1.18,1.23,0
Kepler-202 b,4.069427,0.045,,3.29,1.63,4.17,,108.5,302,4668,4.65,-0.708,0.78,0.67,0
Kepler-202 c,16.282493,0.113,,4.08,1.85,3.54,,17.07,302,4668,4.65,-0.708,0.78,0.67,0
Kepler-203 b,3.162697,0.043,,7.13,2.57,2.31,,668.22,697,5821,4.36,0.01,1,1.11,0
Kepler-203 c,5.370647,0.061,,749.9,2.47,273,,329.79,697,5821,4.36,0.01,1,1.11,0
Kepler-203 d,11.32972,0.1,,33.9,1.44,62.4,,121.82,697,5821,4.36,0.01,1,1.11,0
Kepler-204 b,14.400974,0.117,,6.94,2.53,2.35,,79.7,769,5812,4.27,0.014,1.03,1.24,0
Kepler-204 c,25.660593,0.173,,3.86,1.79,3.7,,36.89,769,5812,4.27,0.014,1.03,1.24,0
Kepler-205 b,2.75564,0.032,,2.89,1.51,4.61,672,102.56,150,4321,4.74,-0.989,0.6,0.55,0
Kepler-205 c,20.306546,0.122,,3.33,1.64,4.15,345,7.14,150,4321,4.74,-0.989,0.6,0.55,0
Kepler-206 b,7.781987,0.078,,1.87,1.2,5.95,,192.27,617,5764,4.31,0.053,1.05,1.19,0
Kepler-206 c,13.137471,0.111,,3.78,1.77,3.75,,95.51,617,5764,4.31,0.053,1.05,1.19,0
Kepler-206 d,23.44281,0.163,,1.81,1.19,5.9,,44.17,617,5764,4.31,0.053,1.05,1.19,0
Kepler-207 b,1.611865,0.029,,3.09,1.57,4.39,,4097.32,760,5920,4.13,0.511,1.2,1.59,0
Kepler-207 c,3.071571,0.044,,2.86,1.5,4.66,,1742.71,760,5920,4.13,0.511,1.2,1.59,0
Kepler-207 d,5.868075,0.068,,11,3.31,1.67,,732.6,760,5920,4.13,0.511,1.2,1.59,0
Kepler-208 b,4.22864,0.054,,3.29,1.63,4.17,,639.58,856,6092,4.26,0.252,1.16,1.31,0
Kepler-208 c,7.466623,0.079,,2.51,1.39,5.14,,300.17,856,6092,4.26,0.252,1.16,1.31,0
Kepler-208 d,11.131786,0.103,,1.87,1.2,5.95,,176.28,856,6092,4.26,0.252,1.16,1.31,0
Kepler-208 e,16.259458,0.132,,2.79,1.48,4.73,,106.34,856,6092,4.26,0.252,1.16,1.31,0
Kepler-209 b,16.087845,0.122,,5.73,2.26,2.73,,48.66,584,5513,4.47,-0.16,0.95,0.94,0
Kepler-209 c,41.749882,0.231,,9.8,3.1,1.81,,13.64,584,5513,4.47,-0.16,0.95,0.94,0
