pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,ESI,isHabitable
76.050178,0.332,1.74,3.68,0.86,0.92,-0.092,0.492053113,0
158.6853308,0.5444,3.21,10.4,1.01,0.98,0.11,0.491596517,0
15.50192,0.107,2.49,6.76,0.65,0.68,-0.985,0.491487527,0
18.1373829,0.1132,1.14,1.55,0.62,0.64,-0.957,0.491467205,0
13.81499958,0.0903,2.284,5.83,0.51,0.52,-1.179,0.490985464,0
47.14840805,0.2317,2.5,6.8,0.76,0.81,-0.569,0.490060274,0
20.306546,0.122,1.64,3.33,0.55,0.59,-0.956,0.489656594,0
32.376183,0.1789,2.26,5.73,0.68,0.75,-0.657,0.489654254,0
86.4945,0.3576,3.024,9.4,0.9,0.9,-0.258,0.489293727,0
116.583183,0.4572,2.91,8.8,0.98,0.94,-0.223,0.488673572,0
96.16987,0.3771,2.27,5.77,0.74,0.77,-0.144,0.487944392,0
5.577212,0.04,1.08,1.28,0.33,0.27,-1.837,0.487358877,0
17.2559,0.10725,2.72,6.2,0.51,0.54,-1.06,0.486699672,0
14.53409958,0.0956,1.613,3.23,0.55,0.55,-0.95,0.486566675,0
150.242127,0.5375,4.64,19.4,0.91,0.92,0.117,0.486472128,0
24.38,0,5.83,27.5,1.43,1.15,0.45,0.486077914,0
22.4764425,0.131,1.66,3.39,0.72,0.77,-0.616,0.484600062,0
205.9120026,0.6785,6.004,30.1,0.97,0.98,0.061,0.483459027,0
28.551383,0.158,1.9,4.27,0.62,0.66,-0.757,0.483339487,0
17.6046,0.1072,3.304,10.9,0.63,0.61,-1.109,0.482618224,0
36.5156053,0.1977,2.21,5.52,0.75,0.79,-0.617,0.481047178,0
135.498527,0.48,6.18,31.6,0.77,0.84,-0.376,0.480492746,0
28.906009,0.166,0.7,0.271,0.67,0.78,-0.655,0.479655276,0
69.8956,0.32,2.553,7.05,0.76,0.89,-0.293,0.478981432,0
138.9442,0.5329,2.55,7.04,1.11,1.08,0.165,0.477461,0
33.8678531,0.1805,2.34,6.08,0.72,0.77,-0.684,0.476938783,0
80.23190308,0.3543,2.831,8.4,0.89,0.92,-0.231,0.476208091,0
68.16101,0.314,1.75,3.71,1.03,0.94,-0.117,0.474895206,0
17.76080053,0.1085,2.07,4.94,0.53,0.55,-1.047,0.474509766,0
24.209842,0.146,1.24,2.07,0.67,0.65,-0.714,0.474076793,0
226.89047,0.6732,4.85,21,0.78,0.84,-0.484,0.473962002,0
101.951829,0.4322,1.61,3.22,1.23,1.15,0.293,0.473660687,0
20.09,0.11796,2.36,11.4,0.61,0.66,-1.102,0.473403453,0
13.969457,0.09,1.73,3.64,0.49,0.59,-1.26,0.472847727,0
7.02679,0.05402,1.17,1.71,0.43,0.43,-1.571,0.47205676,0
44.840975,0.227,2.27,5.77,0.72,0.81,-0.469,0.471222911,0
284.215,0.8453,5.44,15,1.14,1.08,0.213,0.470246337,0
25.69578251,0.1348,2.55,7.04,0.73,0.78,-0.555,0.467281456,0
122.363553,0.4823,1.62,3.26,0.99,0.99,0.241,0.467245058,0
71.52530845,0.3091,5.59,26.7,0.73,0.77,-0.642,0.466649749,0
3.1190633,0.025,1.243,2.08,0.24,0.23,-2.228,0.466230425,0
70.6979061,0.328,1.76,3.75,0.9,0.97,-0.043,0.465153392,0
107.245,0.425,2.562,8.82,1.06,0.87,0.016,0.464937282,0
104.3518976,0.4297,1.33,2.33,0.87,0.96,0.282,0.463828689,0
47.332773,0.242,2.47,6.66,0.79,0.8,-0.456,0.463344468,0
105.0149994,0.4229,2.279,5.81,1.04,0.92,0.175,0.463326061,0
77.611455,0.3474,2.606,13.4,0.92,0.93,-0.165,0.463047176,0
5.746007,0.0385,2.025,11.7,0.31,0.29,-1.971,0.461482602,0
95.174,0.4607,6.85,33,1.33,1.13,0.329,0.461362973,0
448.303558,0.6762,2.47,6.66,1.19,1.12,0.406,0.461293466,0
8.07392849,0.0594,1.46,2.73,0.43,0.46,-1.544,0.460775549,0
100.8274113,0.4029,3.8,13.8,0.85,0.89,-0.183,0.460711891,0
440.7813,1.1455,6.4,33.6,1.24,1.07,0.641,0.460548786,0
36.065978,0.189,2.57,7.13,0.67,0.67,-0.607,0.46014584,0
27.453592,0.1656,0.861,4.3,0.72,0.8,-0.584,0.459722429,0
35.58100128,0.1916,2.425,6.46,0.68,0.75,-0.624,0.459669362,0
16.85589981,0.1082,2.309,5.94,0.59,0.59,-0.957,0.459164054,0
96.678988,0.397,3.95,14.8,1.07,0.94,-0.208,0.45906426,0
105.144749,0.4471,2.82,8.35,1.05,1.03,-0.039,0.45707954,0
14.5665,0.0962,2.67,7.61,0.52,0.56,-1.31,0.456253636,0
572.3847,1.4062,4.6,19.2,1.03,0.98,0.792,0.455685783,0
29.79749,0.1646,1.87,3.41,0.71,0.67,-0.625,0.455429227,0
48.051405,0.2528,1.33,2.33,0.81,0.86,-0.166,0.455140824,0
9.262,0.068,1.88,4.2,0.47,0.49,-1.434,0.454957117,0
148.2720032,0.5456,5.937,29.5,0.88,0.98,0.146,0.454744282,0
47.427737,0.24,2.24,5.65,0.78,0.85,-0.393,0.454578127,0
207.2482,0.64,1.64,3.33,0.55,0.57,-1.051,0.454311479,0
30.950851,0.17,1.11,1.41,0.64,0.84,-0.467,0.453922626,0
49.499875,0.246,3.43,11.6,0.83,0.79,-0.556,0.453284525,0
509.997402,1.1218,2.19,5.43,0.63,0.66,-0.646,0.452055604,0
49.6077331,0.2508,1.96,4.5,0.78,0.86,-0.344,0.450779818,0
76.378033,0.2952,6.43,33.8,0.52,0.55,-1.33,0.450196745,0
27.9481449,0.1593,2.43,43,0.58,0.62,-0.763,0.448121477,0
43.595792,0.218,3.41,11.5,0.66,0.63,-0.754,0.447994878,0
3.1239035,0.02661,1.147,1.54,0.27,0.26,-2.046,0.44774804,0
46.90232,0.237,2.53,6.94,0.89,0.83,-0.446,0.447467103,0
2.2907,0.0185,1.82,3.95,0.17,0.16,-2.533,0.446512972,0
16.3850021,0.10379,1.84,45.4,0.52,0.54,-0.996,0.446094104,0
219.3217528,0.7391,7.22,41.2,1.14,1.11,0.079,0.445775104,0
308.5471,0.9625,3.46,11.8,1.51,1.31,0.662,0.445472233,0
134.2527298,0.512,3.38,11.4,1.15,1.05,0.148,0.442777577,0
